pseudotime,condition,sample,variable,value
0,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1
0,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1
0.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.979057709262364
0.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.971246774188021
0.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.956441591010797
0.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.944967275479125
0.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.932478901678881
0.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.921115192118926
0.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.907469617069765
0.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.899627545842461
0.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.881696098034812
0.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.880429805787259
0.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.85541603149342
0.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.86343910099872
0.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.828862638552134
0.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.848568847249088
0.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.802244331183905
0.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.835731355458896
0.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.775744648126919
0.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.824839694353513
1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.749523208412613
1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.815809373748102
1.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.723717041198874
1.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.808559533562312
1.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.698442161420119
1.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.803013755829897
1.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.673795302419374
1.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.799100583386384
1.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.649855723805512
1.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.79675380610494
1.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.626686980196393
1.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.795912566209596
1.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.604338826123442
1.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.796521332068057
1.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.58284883706292
1.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.798529751391217
1.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.56224396872861
1.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.801892439317651
1.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.542542093873878
1.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.806568720685381
2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.523753371725135
2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.812522324829009
